canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Стартовая улица",59.810193,30.3183762,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,621455195,osm_pbf,True,found,"Санкт-Петербург, Стартовая улица","Торговый комплекс «Лента», Стартовая улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Стартовая улица,,196246,node,621455195,
Лента,торговый комплекс «Лента»,"Санкт-Петербург, улица Савушкина, 112",59.9855844,30.2265365,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1461953472,osm_pbf,True,found,"Санкт-Петербург, улица Савушкина, 112","Гипер Лента, 112, улица Савушкина, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Северо-Приморская часть,улица Савушкина,112,197374,way,10503632,
ОКЕЙ,супермаркет «О'Кей»,"Санкт-Петербург, Пулковское шоссе",59.8279718,30.3229703,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1557354819,osm_pbf,True,found,"Санкт-Петербург, Пулковское шоссе","Пулковское шоссе, Ленинградская сторона, Средняя Рогатка, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Звёздное,Средняя Рогатка,Пулковское шоссе,,196246,way,222104770,
Лента,торговый комплекс «Лента»,"Санкт-Петербург, улица Савушкина",59.9857078,30.2266313,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1669466215,osm_pbf,True,found,"Санкт-Петербург, улица Савушкина","торговый комплекс «Лента», улица Савушкина, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Северо-Приморская часть,улица Савушкина,,197374,node,1669466215,
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Дальневосточный проспект",59.9082317,30.4479325,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1734565693,osm_pbf,True,found,"Санкт-Петербург, Дальневосточный проспект","Торговый комплекс «Лента», Дальневосточный проспект, Клочки, Невский округ, Санкт-Петербург, Северо-Западный федеральный округ, 193313, Россия",Санкт-Петербург,,Клочки,Дальневосточный проспект,,193313,node,1734565693,
Пятёрочка,,"Санкт-Петербург, Индустриальный проспект, 10 к1 литБ",59.9392409,30.4752719,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1754622542,osm_pbf,True,found,"Санкт-Петербург, Индустриальный проспект, 10 к1 литБ","Газпромбанк, 10 к1 литБ, Индустриальный проспект, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195426, Россия",Санкт-Петербург,округ Пороховые,,Индустриальный проспект,10 к1 литБ,195426,node,1754622542,
ОКЕЙ,Гипермаркет «О'Кей»,"Санкт-Петербург, Приморское шоссе",59.9867769,30.2276682,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1777786553,osm_pbf,True,found,"Санкт-Петербург, Приморское шоссе","Приморское шоссе, Старая Деревня, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Старая Деревня,Приморское шоссе,,197374,way,136058447,
Лента,торговый комплекс «Лента»,"Санкт-Петербург, улица Савушкина",59.9860479,30.2255831,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,1801877377,osm_pbf,True,found,"Санкт-Петербург, улица Савушкина","торговый комплекс «Лента», улица Савушкина, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Северо-Приморская часть,улица Савушкина,,197374,node,1801877377,
ОКЕЙ,,"Санкт-Петербург, Пулковское шоссе, 17 к2",59.82778,30.3170532,0.4,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1905674852,osm_pbf,True,skipped_existing_address,,,,,,,,,,,
Лента,Гипермаркет «Лента»,"Санкт-Петербург, Хасанская улица",59.9354941,30.4955706,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,2382359600,osm_pbf,True,found,"Санкт-Петербург, Хасанская улица","Гипермаркет «Лента», Хасанская улица, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195298, Россия",Санкт-Петербург,округ Пороховые,,Хасанская улица,,195298,node,2382359600,
