canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Пятёрочка,Пятёрочка,"Великий Новгород, улица Свободы, 25",58.5410709,31.2306892,0.5,REVERSE_GEOCODED,node,273126786,osm_pbf,False,found,"Великий Новгород, улица Свободы, 25","Пятёрочка, 25, улица Свободы, Западный район, Великий Новгород, Новгородская область, Северо-Западный федеральный округ, 173024, Россия",Великий Новгород,,Западный район,улица Свободы,25,173024,node,273126786,
Пятёрочка,Пятёрочка,"Великий Новгород, Нехинская улица, 24 к1",58.5267475,31.2255704,0.5,REVERSE_GEOCODED,node,281688535,osm_pbf,False,found,"Великий Новгород, Нехинская улица, 24 к1","Пятёрочка, 24 к1, Нехинская улица, Западный район, Великий Новгород, Новгородский район, Новгородская область, Северо-Западный федеральный округ, 173025, Россия",Великий Новгород,Новгородский район,Западный район,Нехинская улица,24 к1,173025,node,281688535,
Пятёрочка,Пятёрочка,"городской округ Великий Новгород, улица Державина, 15",58.5434224,31.3179729,0.5,REVERSE_GEOCODED,node,286966172,osm_pbf,False,found,"городской округ Великий Новгород, улица Державина, 15","Пятёрочка, 15, улица Державина, Донецкий район, городской округ Великий Новгород, Новгородская область, Северо-Западный федеральный округ, 173020, Россия",городской округ Великий Новгород,,Донецкий район,улица Державина,15,173020,node,286966172,
Пятёрочка,Пятёрочка,"Великий Новгород, Большая Московская улица, 53 к1",58.5379625,31.3000114,0.5,REVERSE_GEOCODED,node,287820352,osm_pbf,False,found,"Великий Новгород, Большая Московская улица, 53 к1","Пятёрочка, 53 к1, Большая Московская улица, Антоново, Донецкий район, Великий Новгород, Новгородский район, Новгородская область, Северо-Западный федеральный округ, 173014, Россия",Великий Новгород,Новгородский район,Донецкий район,Большая Московская улица,53 к1,173014,node,287820352,
Пятёрочка,Пятёрочка,"городской округ Великий Новгород, Щитная улица",58.5266373,31.2930522,0.5,REVERSE_GEOCODED,node,287826434,osm_pbf,False,found,"городской округ Великий Новгород, Щитная улица","Пятёрочка, Щитная улица, Плотницкий конец, Торговая сторона, городской округ Великий Новгород, Новгородский район, Новгородская область, Северо-Западный федеральный округ, 173000, Россия",городской округ Великий Новгород,Новгородский район,Торговая сторона,Щитная улица,,173000,node,287826434,
Пятёрочка,Пятёрочка,"Великий Новгород, улица Ломоносова, 9",58.5403882,31.245546,0.5,REVERSE_GEOCODED,node,301421115,osm_pbf,False,found,"Великий Новгород, улица Ломоносова, 9","Пятёрочка, 9, улица Ломоносова, Привокзальный район, Великий Новгород, Новгородская область, Северо-Западный федеральный округ, 173016, Россия",Великий Новгород,,Привокзальный район,улица Ломоносова,9,173016,node,301421115,
Пятёрочка,Пятёрочка,"Сазоново, Советская улица, 100",59.0982289,35.2252374,0.5,REVERSE_GEOCODED,node,369482683,osm_pbf,False,found,"Сазоново, Советская улица, 100","Пятёрочка, 100, Советская улица, Сазоново, Чагодощенский муниципальный округ, Вологодская область, Северо-Западный федеральный округ, 162431, Россия",Сазоново,Чагодощенский муниципальный округ,,Советская улица,100,162431,node,369482683,
Пятёрочка,Пятёрочка,"городской округ Великий Новгород, Псковская улица, 24",58.518509,31.2493199,0.5,REVERSE_GEOCODED,node,377614965,osm_pbf,False,found,"городской округ Великий Новгород, Псковская улица, 24","Пятёрочка, 24, Псковская улица, Псковский район, городской округ Великий Новгород, Новгородский район, Новгородская область, Северо-Западный федеральный округ, 173015, Россия",городской округ Великий Новгород,Новгородский район,Псковский район,Псковская улица,24,173015,node,377614965,
ОКЕЙ,супермаркет «О'Кей»,"Санкт-Петербург, Пулковское шоссе",59.8279794,30.3232282,0.1,SHOP_TAG_MISSING;REVERSE_GEOCODED,node,410525407,osm_pbf,False,found,"Санкт-Петербург, Пулковское шоссе","супермаркет «О'Кей», Пулковское шоссе, Ленинградская сторона, Средняя Рогатка, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Звёздное,Средняя Рогатка,Пулковское шоссе,,196246,node,410525407,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Хасанская улица, 10 к1",59.9368426,30.4836375,0.5,REVERSE_GEOCODED,node,428882376,osm_pbf,False,found,"Санкт-Петербург, Хасанская улица, 10 к1","Пятёрочка, 10 к1, Хасанская улица, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195426, Россия",Санкт-Петербург,округ Пороховые,,Хасанская улица,10 к1,195426,node,428882376,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Индустриальный проспект, 10 к1 литБ",59.9392389,30.4753217,0.5,REVERSE_GEOCODED,node,428942365,osm_pbf,False,found,"Санкт-Петербург, Индустриальный проспект, 10 к1 литБ","Пятёрочка, 10 к1 литБ, Индустриальный проспект, округ Пороховые, Санкт-Петербург, Северо-Западный федеральный округ, 195426, Россия",Санкт-Петербург,округ Пороховые,,Индустриальный проспект,10 к1 литБ,195426,node,428942365,
