canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Пятёрочка,Пятёрочка,,58.5410709,31.2306892,0.5,ADDRESS_MISSING,node,273126786,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5267475,31.2255704,0.5,ADDRESS_MISSING,node,281688535,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5434224,31.3179729,0.5,ADDRESS_MISSING,node,286966172,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5379625,31.3000114,0.5,ADDRESS_MISSING,node,287820352,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5266373,31.2930522,0.5,ADDRESS_MISSING,node,287826434,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5403882,31.245546,0.5,ADDRESS_MISSING,node,301421115,osm_pbf,False
Пятёрочка,Пятёрочка,,59.0982289,35.2252374,0.5,ADDRESS_MISSING,node,369482683,osm_pbf,False
Пятёрочка,Пятёрочка,,58.518509,31.2493199,0.5,ADDRESS_MISSING,node,377614965,osm_pbf,False
ОКЕЙ,супермаркет «О'Кей»,,59.8279794,30.3232282,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,410525407,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9368426,30.4836375,0.5,ADDRESS_MISSING,node,428882376,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9392389,30.4753217,0.5,ADDRESS_MISSING,node,428942365,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9365111,30.4891133,0.5,ADDRESS_MISSING,node,429923619,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9002424,30.4794242,0.5,ADDRESS_MISSING,node,441597759,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8590975,30.1847402,0.5,ADDRESS_MISSING,node,442269659,osm_pbf,False
Лента,Дом Лента,,59.8950846,30.5185282,0.3,ADDRESS_MISSING,node,442515596,osm_pbf,False
Пятёрочка,Пятёрочка,,58.5393452,31.3137323,0.5,ADDRESS_MISSING,node,462080671,osm_pbf,False
